id_manzana,comuna,poblacion,superficie_m2,latitud,longitud
MZ-0048,Comuna Piloto,58.0,5699,-33.468943,-70.608368
MZ-0049,Comuna Piloto,411.0,54803,-33.406166,-70.675342
MZ-0050,Comuna Piloto,51.0,10881,-33.44616,-70.660589
MZ-0051,Comuna Piloto,144.0,27285,-33.418841,-70.677282
MZ-0052,Comuna Piloto,473.0,58160,-33.434197,-70.687509
MZ-0053,Comuna Piloto,873.0,10076,-33.438925,-70.696698
MZ-0054,Comuna Piloto,430.0,40834,-33.480875,-70.649666
MZ-0055,Comuna Piloto,731.0,44761,-33.442561,-70.687687
MZ-0056,Comuna Piloto,827.0,27980,-33.496031,-70.68237
MZ-0057,Comuna Piloto,744.0,8425,-33.419834,-70.613952
MZ-0058,Comuna Piloto,573.0,33329,-33.403993,-70.651576
MZ-0059,Comuna Piloto,408.0,28267,-33.414599,-70.68163
MZ-0060,Comuna Piloto,472.0,52877,-33.494929,-70.633014
MZ-0061,Comuna Piloto,254.0,42207,-33.466134,-70.673414
MZ-0062,Comuna Piloto,457.0,23275,-33.4682,-70.647306
MZ-0063,Comuna Piloto,353.0,7250,-33.488728,-70.671705
MZ-0064,Comuna Piloto,237.0,37056,-33.437339,-70.648384
MZ-0065,Comuna Piloto,894.0,19657,-33.420254,-70.637147
MZ-0066,Comuna Piloto,30.0,42286,-33.468628,-70.646379
MZ-0067,Comuna Piloto,105.0,52373,-33.413719,-70.66044
MZ-0068,Comuna Piloto,189.0,23903,-33.420287,-70.620919
MZ-0069,Comuna Piloto,872.0,54589,-33.487086,-70.612656
MZ-0070,Comuna Piloto,,33069,-33.423314,-70.682063
MZ-0071,Comuna Piloto,796.0,33726,-33.411738,-70.686369
MZ-0072,Comuna Piloto,196.0,46853,-33.480272,-70.688681
MZ-0073,Comuna Piloto,654.0,48191,-33.442636,-70.60204
MZ-0074,Comuna Piloto,345.0,54914,-33.436125,-70.605841
MZ-0075,Comuna Piloto,450.0,59954,-33.439067,-70.676933
MZ-0076,Comuna Piloto,23.0,12459,-33.490375,-70.603009
MZ-0077,Comuna Piloto,563.0,27105,-33.433881,-70.679218
MZ-0078,Comuna Piloto,750.0,56271,-33.436805,-70.649352
MZ-0079,Comuna Piloto,604.0,21228,-33.417611,-70.650261
MZ-0080,Comuna Piloto,155.0,4290,-33.419649,-70.608504
MZ-0081,Comuna Piloto,489.0,36260,-33.467283,-70.695947
MZ-0082,Comuna Piloto,255.0,46166,-33.427795,-70.668465
MZ-0083,Comuna Piloto,869.0,45614,-33.413273,-70.640003
MZ-0084,Comuna Piloto,794.0,49389,-33.410705,-70.69336
MZ-0085,Comuna Piloto,183.0,40055,-33.483849,-70.676345
MZ-0086,Comuna Piloto,468.0,11658,-33.49733,-70.653494
MZ-0087,Comuna Piloto,846.0,51439,-33.434919,-70.611914
MZ-0088,Comuna Piloto,765.0,27458,-33.478532,-70.623904
MZ-0089,Comuna Piloto,642.0,51454,-33.443629,-70.617102
MZ-0090,Comuna Piloto,582.0,49654,-33.40552,-70.623893
MZ-0091,Comuna Piloto,57.0,58343,-33.462068,-70.629228
MZ-0092,Comuna Piloto,672.0,4799,-33.474723,-70.615031
MZ-0093,Comuna Piloto,436.0,52505,-33.454349,-70.631852
MZ-0094,Comuna Piloto,100.0,39193,-33.434276,-70.626432
MZ-0095,Comuna Piloto,235.0,31179,-33.48989,-70.669836
MZ-0096,Comuna Piloto,496.0,48409,-33.461942,-70.683236
MZ-0097,Comuna Piloto,659.0,57323,-33.486628,-70.624348
MZ-0098,Comuna Piloto,466.0,32728,-33.433755,-70.683416
MZ-0099,Comuna Piloto,559.0,8898,-33.416945,-70.608054
MZ-0100,Comuna Piloto,786.0,44647,-33.462315,-70.640336
MZ-0101,Comuna Piloto,623.0,16916,-33.462828,-70.667057
MZ-0102,Comuna Piloto,337.0,16679,-33.446048,-70.606336
MZ-0103,Comuna Piloto,586.0,14802,-33.478494,-70.684487
MZ-0104,Comuna Piloto,546.0,15117,-33.475259,-70.648553
MZ-0105,Comuna Piloto,115.0,54958,-33.467015,-70.690845
MZ-0106,Comuna Piloto,72.0,24335,-33.454257,-70.603457
MZ-0107,Comuna Piloto,600.0,9945,-33.491847,-70.642462
MZ-0108,Comuna Piloto,361.0,14046,-33.424727,-70.619633
MZ-0109,Comuna Piloto,546.0,26108,-33.442095,-70.671808
MZ-0110,Comuna Piloto,304.0,23379,-33.470031,-70.61982
MZ-0111,Comuna Piloto,218.0,21368,-33.492245,-70.629716
MZ-0112,Comuna Piloto,152.0,57094,-33.423682,-70.635632
MZ-0113,Comuna Piloto,355.0,52527,-33.486892,-70.604944
MZ-0114,Comuna Piloto,738.0,36106,-33.486679,-70.656651
MZ-0115,Comuna Piloto,372.0,59240,-33.486932,-70.658491
MZ-0116,Comuna Piloto,353.0,23043,-33.491874,-70.630788
MZ-0117,Comuna Piloto,526.0,11703,-33.409361,-70.616494
MZ-0118,Comuna Piloto,881.0,19205,-33.473076,-70.666492
MZ-0119,Comuna Piloto,365.0,9001,-33.469359,-70.633034
MZ-0120,Comuna Piloto,539.0,57314,-33.416721,-70.679096
MZ-0121,Comuna Piloto,406.0,16263,-33.438008,-70.64483
MZ-0122,Comuna Piloto,552.0,28890,-33.481286,-70.623083
MZ-0123,Comuna Piloto,412.0,0,-33.456519,-70.693469
MZ-0124,Comuna Piloto,,58902,-33.411608,-70.627216
MZ-0125,Comuna Piloto,501.0,12851,-33.462463,-70.698457
MZ-0126,Comuna Piloto,615.0,32869,-33.428912,-70.604165
MZ-0127,Comuna Piloto,861.0,57230,-33.490319,-70.653133
MZ-0128,Comuna Piloto,152.0,33185,-33.427268,-70.659093
MZ-0129,Comuna Piloto,514.0,54340,-33.422353,-70.627956
MZ-0130,Comuna Piloto,407.0,54206,-33.417423,-70.64767
MZ-0131,Comuna Piloto,335.0,47005,-33.43258,-70.626915
MZ-0132,Comuna Piloto,230.0,45594,-33.462927,-70.691524
MZ-0133,Comuna Piloto,65.0,36290,-33.493579,-70.643721
MZ-0134,Comuna Piloto,374.0,36516,-33.448122,-70.644189
MZ-0135,Comuna Piloto,747.0,50555,-33.424254,-70.606789
MZ-0136,Comuna Piloto,105.0,27892,-33.480916,-70.696039
MZ-0137,Comuna Piloto,377.0,56962,-33.473376,-70.654718
MZ-0138,Comuna Piloto,871.0,53178,-33.446388,-70.636893
MZ-0139,Comuna Piloto,857.0,24966,-33.425167,-70.644925
MZ-0140,Comuna Piloto,209.0,27052,-33.410341,-70.692584
MZ-0141,Comuna Piloto,26.0,44005,-33.487426,-70.640677
MZ-0142,Comuna Piloto,611.0,55674,-33.481573,-70.67778
MZ-0143,Comuna Piloto,32.0,9405,-33.420046,-70.680445
MZ-0144,Comuna Piloto,284.0,7848,-33.435548,-70.612131
MZ-0145,Comuna Piloto,457.0,17894,-33.427903,-70.680216
MZ-0146,Comuna Piloto,789.0,28079,-33.400323,-70.654571
MZ-0147,Comuna Piloto,101.0,13113,-33.406082,-70.624971
MZ-0148,Comuna Piloto,602.0,33092,-33.415697,-70.629268
MZ-0149,Comuna Piloto,489.0,34312,-33.422288,-70.644654
MZ-0150,Comuna Piloto,135.0,57252,-33.460498,-70.619295
